site,site_name,plot,year,treat_cont,species,snag_dbh,stump_dbh,tree_dbh,status,crwn_ratio,core_outsideplot
5b,sm_cont,5b2,2014,c,abla,,,11,de,,
5b,sm_cont,5b2,2014,c,abla,,,6,li,10,
5b,sm_cont,5b2,2014,c,abla,,,11,li,10,
5b,sm_cont,5b2,2014,c,abla,,,4,li,10,
5b,sm_cont,5b2,2014,c,abla,,,18,tw,,
5b,sm_cont,5b2,2014,c,abla,,,9,tw,,
5b,sm_cont,5b2,2014,c,piea,,,21,li,30,
5b,sm_cont,5b2,2014,c,piea,,,34,li,60,
5b,sm_cont,5b2,2014,c,abla,,,23,br,,
5b,sm_cont,5b2,2014,c,abla,,,18,li,30,
5b,sm_cont,5b2,2014,c,abla,20,,,sn,,
5b,sm_cont,5b2,2014,c,pien,,,31,li,20,y
5b,sm_cont,5b2,2014,c,pien,,,36,li,40,y
5b,sm_cont,5b2,2014,c,pien,,,40,li,30,y
5b,sm_cont,5b2,2014,c,pien,,,30,li,40,y
5b,sm_cont,5b2,2014,c,pien,,,29,li,40,y
5b,sm_cont,5b3,2014,c,pien,,,40,li,60,
5b,sm_cont,5b3,2014,c,abla,,,47,li,65,
5b,sm_cont,5b3,2014,c,pien,,,53,li,40,
5b,sm_cont,5b3,2014,c,pien,,,25,li,20,
5b,sm_cont,5b3,2014,c,pien,,,46,li,30,
5b,sm_cont,5b3,2014,c,abla,,,31,li,40,
5b,sm_cont,5b3,2014,c,abla,,,42,tw,,
5b,sm_cont,5b3,2014,c,pien,,,26,li,40,
5b,sm_cont,5b3,2014,c,pien,,,25,li,40,
5b,sm_cont,5b3,2014,c,abla,,,55,gr,15,
5b,sm_cont,5b3,2014,c,pien,,,13,li,10,
5b,sm_cont,5b3,2014,c,pien,,,12,li,10,
5b,sm_cont,5b3,2014,c,pien,,,59,li,55,
5b,sm_cont,5b3,2014,c,pien,23,,,sn,,
5b,sm_cont,5b3,2014,c,pien,18,,,sn,,
5b,sm_cont,5b3,2014,c,pien,,,37,li,50,
5b,sm_cont,5b3,2014,c,abla,,,15,li,30,
5b,sm_cont,5b3,2014,c,pien,,,29,li,30,
5b,sm_cont,5b3,2014,c,abla,,,31,li,40,
5b,sm_cont,5b3,2014,c,abla,,,35,li,50,
5b,sm_cont,5b3,2014,c,pien,44,,,sn,,
5b,sm_cont,5b3,2014,c,abla,,,6,li,20,
5b,sm_cont,5b3,2014,c,abla,,,21,li,10,
5b,sm_cont,5b3,2014,c,piea,,,24,tw,,
5b,sm_cont,5b4,2014,c,pien,,,65,li,35,
5b,sm_cont,5b4,2014,c,abla,,,7,li,20,
5b,sm_cont,5b4,2014,c,abla,,,6,li,15,
5b,sm_cont,5b4,2014,c,abla,,,8,tw,0,
5b,sm_cont,5b4,2014,c,pien,,,22,li,60,
5b,sm_cont,5b4,2014,c,abla,,,7,li,30,
5b,sm_cont,5b4,2014,c,pien,,,17,li,15,
5b,sm_cont,5b4,2014,c,abla,,,12,li,40,
5b,sm_cont,5b4,2014,c,pien,,,26,li,30,
5b,sm_cont,5b4,2014,c,pien,,,10,li,15,
5b,sm_cont,5b4,2014,c,abla,,,11,li,45,
5b,sm_cont,5b4,2014,c,pien,,,11,de,,
5b,sm_cont,5b4,2014,c,pien,,,10,de,,
5b,sm_cont,5b4,2014,c,abla,,,12,li,50,
5b,sm_cont,5b4,2014,c,abla,,,11,li,70,
5b,sm_cont,5b4,2014,c,pien,,,7,li,20,
5b,sm_cont,5b4,2014,c,pien,,,37,li,30,
5b,sm_cont,5b4,2014,c,abla,,,9,li,15,
5b,sm_cont,5b4,2014,c,pien,,,36,li,40,
5b,sm_cont,5b4,2014,c,pien,,,12,tw,0,
5b,sm_cont,5b4,2014,c,pien,,,9,tw,0,
5b,sm_cont,5b4,2014,c,abla,,,11,li,10,
5b,sm_cont,5b4,2014,c,pien,,,34,li,30,
5b,sm_cont,5b4,2014,c,pien,,,21,tw,0,
5b,sm_cont,5b4,2014,c,pien,,,40,li,60,
5b,sm_cont,5b4,2014,c,pien,,,27,li,40,
5b,sm_cont,5b4,2014,c,abla,,,10,li,25,
5b,sm_cont,5b4,2014,c,pien,,,40,li,25,
5b,sm_cont,5b4,2014,c,abla,,,20,tw,0,
5b,sm_cont,5b4,2014,c,abla,,,8,li,5,
5b,sm_cont,5b4,2014,c,abla,,,11,li,5,
5b,sm_cont,5b4,2014,c,pien,,,14,li,10,
5b,sm_cont,5b4,2014,c,abla,,,22,tw,0,
5b,sm_cont,5b4,2014,c,abla,,,4,li,15,
5b,sm_cont,5b4,2014,c,pien,,,16,tw,0,
5b,sm_cont,5b4,2014,c,pien,,,23,li,15,
5b,sm_cont,5b4,2014,c,pien,,,41,li,15,
5b,sm_cont,5b4,2014,c,pien,,,21,tw,0,
5b,sm_cont,5b4,2014,c,pien,,,10,tw,0,
5b,sm_cont,5b4,2014,c,abla,,,12,tw,0,
5b,sm_cont,5b4,2014,c,pien,,,11,li,10,
5b,sm_cont,5b4,2014,c,pien,,,8,tw,0,
5b,sm_cont,5b4,2014,c,pien,,,62,li,50,
5b,sm_cont,5b4,2014,c,pien,,,39,li,20,
5b,sm_cont,5b4,2014,c,pien,,,40,li,35,
5b,sm_cont,5b4,2014,c,abla,,,10,li,65,
5b,sm_cont,5b4,2014,c,pien,,,20,li,50,
5b,sm_cont,5b4,2014,c,pien,,,3,li,50,
5b,sm_cont,5b4,2014,c,pien,,,49,li,40,
5b,sm_cont,5b4,2014,c,pien,,,4,de,0,
5b,sm_cont,5b4,2014,c,abla,,,8,li,10,
5b,sm_cont,5b4,2014,c,pien,,,13,li,15,
5b,sm_cont,5b4,2014,c,pien,,,15,li,30,
5b,sm_cont,5b4,2014,c,pien,,,11,li,20,
5b,sm_cont,5b4,2014,c,pien,,,18,li,5,
5b,sm_cont,5b4,2014,c,pien,,,10,li,15,
5b,sm_cont,5b4,2014,c,pien,,,5,li,5,
5b,sm_cont,5b4,2014,c,pien,,,12,li,40,
5b,sm_cont,5b4,2014,c,pien,,,21,li,0,
5b,sm_cont,5b4,2014,c,abla,,,11,tw,0,
5b,sm_cont,5b4,2014,c,abla,,,11,tw,0,
5b,sm_cont,5b4,2014,c,pien,,,34,tw,0,
5b,sm_cont,5b4,2014,c,abla,,,42,tw,0,
5b,sm_cont,5b4,2014,c,pien,,,52,li,45,y
5b,sm_cont,5b4,2014,c,pien,,,61,li,70,
5b,sm_cont,5b5,2014,c,pien,,,28,li,60,
5b,sm_cont,5b5,2014,c,abla,,,12,li,40,
5b,sm_cont,5b5,2014,c,pien,,,30,li,60,
5b,sm_cont,5b5,2014,c,abla,,,8,gr,20,
5b,sm_cont,5b5,2014,c,pien,,,42,gr,10,
5b,sm_cont,5b5,2014,c,pien,,,8,tw,,
5b,sm_cont,5b5,2014,c,pien,,,20,li,10,
5b,sm_cont,5b5,2014,c,pien,,,19,li,20,
5b,sm_cont,5b5,2014,c,pien,,,9,nd,,
5b,sm_cont,5b5,2014,c,abla,,,14,li,30,
5b,sm_cont,5b5,2014,c,abla,,,6,nd,,
5b,sm_cont,5b5,2014,c,pien,,,12,nd,,
5b,sm_cont,5b5,2014,c,pien,,,14,li,30,
5b,sm_cont,5b5,2014,c,abla,,,10,li,20,
5b,sm_cont,5b5,2014,c,pien,,,32,li,30,
5b,sm_cont,5b5,2014,c,abla,,,21,li,40,
5b,sm_cont,5b5,2014,c,abla,,,5,li,10,
5b,sm_cont,5b5,2014,c,abla,,,7,li,30,
5b,sm_cont,5b5,2014,c,abla,,,8,li,40,
5b,sm_cont,5b5,2014,c,pien,,,18,li,40,
5b,sm_cont,5b5,2014,c,pien,,,13,li,60,
5b,sm_cont,5b5,2014,c,pien,,,23,li,40,
5b,sm_cont,5b5,2014,c,abla,,,8,li,30,
5b,sm_cont,5b5,2014,c,abla,,,29,br,,
5b,sm_cont,5b5,2014,c,abla,8,,,sn,,
5b,sm_cont,5b5,2014,c,pien,,,15,tw,20,
5b,sm_cont,5b5,2014,c,abla,,,14,li,40,
5b,sm_cont,5b5,2014,c,pien,,,39,li,30,
5b,sm_cont,5b5,2014,c,pien,,,23,li,40,
5b,sm_cont,5b5,2014,c,abla,,,8,li,10,
5b,sm_cont,5b5,2014,c,pien,,,11,li,40,
5b,sm_cont,5b5,2014,c,pien,,,19,li,30,
5b,sm_cont,5b5,2014,c,abla,,,21,li,10,
5b,sm_cont,5b5,2014,c,pien,,,38,br,,
5b,sm_cont,5b5,2014,c,abla,,,22,nd,10,
5b,sm_cont,5b5,2014,c,abla,,,5,br,,
5b,sm_cont,5b5,2014,c,pien,,,21,li,20,
5b,sm_cont,5b5,2014,c,abla,,,25,nd,,
5b,sm_cont,5b5,2014,c,pien,,,16,li,10,
5b,sm_cont,5b5,2014,c,abla,,,6,nd,5,
5b,sm_cont,5b5,2014,c,abla,,,1,tw,,
5b,sm_cont,5b5,2014,c,pien,,,27,li,50,
5b,sm_cont,5b5,2014,c,abla,16,,,sn,,
5b,sm_cont,5b5,2014,c,pien,17,,,sn,,
5b,sm_cont,5b5,2014,c,abla,,,6,nd,5,
5b,sm_cont,5b5,2014,c,pien,,,52,br,,
5b,sm_cont,5b5,2014,c,abla,,,22,li,30,
5b,sm_cont,5b5,2014,c,pien,,,5,br,,
5b,sm_cont,5b5,2014,c,pien,,,17,li,50,
5b,sm_cont,5b5,2014,c,pien,,,36,li,60,
5b,sm_cont,5b5,2014,c,pien,,,,li,20,
5b,sm_cont,5b5,2014,c,pien,,,12,li,30,
5b,sm_cont,5b5,2014,c,pien,,,23,li,40,
5b,sm_cont,5b5,2014,c,abla,,,35,li,40,
5b,sm_cont,5b5,2014,c,abla,,,10,li,10,
5b,sm_cont,5b5,2014,c,pien,,,37,li,20,
5b,sm_cont,5b5,2014,c,abla,,,12,li,15,
5b,sm_cont,5b5,2014,c,abla,,,6,li,10,
5b,sm_cont,5b5,2014,c,pien,,,11,li,5,
5b,sm_cont,5b5,2014,c,pien,,,10,li,20,
5b,sm_cont,5b5,2014,c,pien,15,,,sn,,
5b,sm_cont,5b6,2014,c,pien,,,61,li,60,
5b,sm_cont,5b6,2014,c,pien,,,65,li,40,
5b,sm_cont,5b6,2014,c,abla,,,39,li,,
5b,sm_cont,5b6,2014,c,abla,,,6,tw,,
5b,sm_cont,5b6,2014,c,abla,,,5,tw,,
5b,sm_cont,5b6,2014,c,pien,,,71,li,80,y
5b,sm_cont,5b6,2014,c,abla,,,41,tw,,
5b,sm_cont,5b6,2014,c,abla,,,11,nd,5,
5b,sm_cont,5b6,2014,c,pien,,,52,li,70,y
5b,sm_cont,5b6,2014,c,abla,,,44,nd,10,
5b,sm_cont,5b6,2014,c,abla,,,12,li,40,
5b,sm_cont,5b6,2014,c,abla,,,33,li,30,
5b,sm_cont,5b6,2014,c,abla,,,12,li,10,
5b,sm_cont,5b6,2014,c,abla,,,49,nd,,
5b,sm_cont,5b6,2014,c,abla,,,5,li,80,
5b,sm_cont,5b6,2014,c,abla,,,10,li,80,
5b,sm_cont,5b6,2014,c,abla,,,9,li,20,
5b,sm_cont,5b6,2014,c,pien,,,42,li,70,
5b,sm_cont,5b6,2014,c,pien,,,61,li,60,y
5b,sm_cont,5b6,2014,c,pien,,,46,li,80,
5b,sm_cont,5b6,2014,c,pien,,,38,li,80,y
5b,sm_cont,5b6,2014,c,pien,,,40,li,70,y
5b,sm_cont,5b6,2014,c,abla,,,36,nd,10,
5b,sm_cont,5b6,2014,c,abla,,,46,nd,20,
5b,sm_cont,5b6,2014,c,abla,,,6,li,30,
5b,sm_cont,5b6,2014,c,abla,,,55,nd,20,
5b,sm_cont,5b6,2014,c,pien,,,44,li,80,y
5b,sm_cont,5b6,2014,c,pien,,,5,li,60,
5b,sm_cont,5b6,2014,c,abla,,,6,li,50,
5b,sm_cont,5b6,2014,c,abla,,,7,li,80,
5b,sm_cont,5b7,2014,c,abla,,,42,nd,,
5b,sm_cont,5b7,2014,c,pien,,,18,br,,
5b,sm_cont,5b7,2014,c,abla,,,41,tw,,
5b,sm_cont,5b7,2014,c,pien,,,40,li,30,
5b,sm_cont,5b7,2014,c,pien,,,63,li,40,
5b,sm_cont,5b7,2014,c,abla,,,5,de,,
5b,sm_cont,5b7,2014,c,pien,,,62,li,40,
5b,sm_cont,5b7,2014,c,abla,,,56,li,70,
5b,sm_cont,5b7,2014,c,abla,,,5,li,80,
5b,sm_cont,5b7,2014,c,abla,,,12,li,40,
5b,sm_cont,5b7,2014,c,pien,,,50,li,70,
5b,sm_cont,5b7,2014,c,pien,,,60,li,40,
5b,sm_cont,5b7,2014,c,abla,,39,,u,,
5b,sm_cont,5b7,2014,c,abla,,,7,li,70,
5b,sm_cont,5b7,2014,c,pien,,,52,li,40,
5b,sm_cont,5b7,2014,c,abla,,,49,tw,,
5b,sm_cont,5b7,2014,c,abla,,,13,li,50,
5b,sm_cont,5b7,2014,c,pien,,,56,li,60,
5b,sm_cont,5b7,2014,c,pien,,,57,li,50,y
5b,sm_cont,5b7,2014,c,pien,,,56,li,60,y
5b,sm_cont,5b7,2014,c,pien,,,49,li,50,y
5b,sm_cont,5b7,2014,c,pien,,,69,li,40,y
5b,sm_cont,5b7,2014,c,pien,,,54,li,50,y
5b,sm_cont,5b7,2014,c,pien,,,57,li,70,y
5b,sm_cont,5b7,2014,c,pien,,,63,li,80,y
5b,sm_cont,5b8,2014,c,pien,,,41,li,50,
5b,sm_cont,5b8,2014,c,abla,,,26,li,15,
5b,sm_cont,5b8,2014,c,pien,,,64,br,0,
5b,sm_cont,5b8,2014,c,abla,,,9,tw,0,
5b,sm_cont,5b8,2014,c,abla,,,11,tw,0,
5b,sm_cont,5b8,2014,c,abla,,,7,tw,0,
5b,sm_cont,5b8,2014,c,pien,,,63,li,70,
5b,sm_cont,5b8,2014,c,pien,,,60,nd,0,
5b,sm_cont,5b8,2014,c,pien,,,44,nd,0,
5b,sm_cont,5b8,2014,c,abla,,,5,li,90,
5b,sm_cont,5b8,2014,c,pien,,,50,li,40,
5b,sm_cont,5b8,2014,c,pien,,,65,tw,0,
5b,sm_cont,5b8,2014,c,abla,,,10,tw,0,
5b,sm_cont,5b8,2014,c,abla,,,24,li,20,
5b,sm_cont,5b8,2014,c,pien,,,49,tw,0,
5b,sm_cont,5b8,2014,c,abla,,,30,nd,0,
5b,sm_cont,5b8,2014,c,abla,,,8,li,10,
5b,sm_cont,5b8,2014,c,pien,,,55,li,90,
5b,sm_cont,5b8,2014,c,pien,,,66,li,70,
5b,sm_cont,5b8,2014,c,pien,,,64,li,90,
5b,sm_cont,5b8,2014,c,pien,,,71,li,15,
5b,sm_cont,5b8,2014,c,pien,,,56,li,85,
5b,sm_cont,5b8,2014,c,pien,,,63,li,35,
5b,sm_cont,5b8,2014,c,pien,,,69,li,50,
5b,sm_cont,5b8,2014,c,pien,,,64,li,40,
5b,sm_cont,5b8,2014,c,pien,,,63,li,60,
5b,sm_cont,5b9,2014,c,abla,,,21,gr,5,
5b,sm_cont,5b9,2014,c,abla,,,20,tw,0,
5b,sm_cont,5b9,2014,c,abla,,,22,gr,15,
5b,sm_cont,5b9,2014,c,pien,,,3,li,30,
5b,sm_cont,5b9,2014,c,abla,,,30,de,,
5b,sm_cont,5b9,2014,c,abla,,,13,li,,
5b,sm_cont,5b9,2014,c,abla,,,38,gr,5,
5b,sm_cont,5b9,2014,c,abla,,,5,gr,45,
5b,sm_cont,5b9,2014,c,abla,,,25,gr,50,
5b,sm_cont,5b9,2014,c,abla,,,27,li,40,
5b,sm_cont,5b9,2014,c,abla,,,33,gr,30,
5b,sm_cont,5b9,2014,c,abla,,,26,li,,
5b,sm_cont,5b9,2014,c,abla,,,12,li,90,
5b,sm_cont,5b9,2014,c,abla,,,19,tw,0,
5b,sm_cont,5b9,2014,c,abla,,,23,gr,40,
5b,sm_cont,5b9,2014,c,abla,,,72,li,25,
5b,sm_cont,5b9,2014,c,abla,,,7,tw,0,
5b,sm_cont,5b9,2014,c,abla,,,49,tw,15,
5b,sm_cont,5b9,2014,c,pien,,,34,li,70,
5b,sm_cont,5b9,2014,c,pien,,,60,li,90,
5b,sm_cont,5b9,2014,c,pien,,,46,li,80,
5b,sm_cont,5b9,2014,c,pien,,,30,li,40,
5b,sm_cont,5b9,2014,c,pien,,,38,li,75,
5b,sm_cont,5b9,2014,c,pien,,,15,li,50,
5b,sm_cont,5b9,2014,c,pien,,,18,li,60,
5b,sm_cont,5b9,2014,c,pien,,,29,li,30,
5b,sm_cont,5b9,2014,c,pien,,,13,li,30,
5b,sm_cont,5b9,2014,c,pien,,,26,li,70,
5b,sm_cont,5b9,2014,c,pien,,,41,li,75,
5b,sm_cont,5b9,2014,c,pien,,,5,li,30,
5b,sm_cont,5b9,2014,c,pien,,,25,li,40,
5b,sm_cont,5b9,2014,c,pien,,,36,li,60,
5b,sm_cont,5b9,2014,c,pien,,,37,li,60,
5b,sm_cont,5b9,2014,c,pien,,,33,li,50,
11a,tv_treat,11a1,2014,t,pien,,,39,li,75,
11a,tv_treat,11a1,2014,t,pien,,,33,li,60,
11a,tv_treat,11a1,2014,t,pien,,,57,tw,,
11a,tv_treat,11a1,2014,t,abla,,,7,li,80,
11a,tv_treat,11a1,2014,t,pien,,,40,li,85,
11a,tv_treat,11a1,2014,t,pien,,,34,li,40,
11a,tv_treat,11a1,2014,t,abla,,,8,li,90,
11a,tv_treat,11a1,2014,t,abla,,,6,li,60,
11a,tv_treat,11a1,2014,t,abla,,,13,li,70,
11a,tv_treat,11a1,2014,t,pien,,,27,li,50,
11a,tv_treat,11a1,2014,t,pien,,,38,li,60,
11a,tv_treat,11a1,2014,t,abla,,,17,li,70,
11a,tv_treat,11a1,2014,t,abla,,,6,li,90,
11a,tv_treat,11a1,2014,t,abla,,,8,li,90,
11a,tv_treat,11a1,2014,t,abla,,,23,li,70,
11a,tv_treat,11a1,2014,t,pien,,,46,li,75,
11a,tv_treat,11a1,2014,t,abla,,,8,li,90,
11a,tv_treat,11a1,2014,t,abla,,,29,li,60,
11a,tv_treat,11a1,2014,t,abla,,,10,li,80,
11a,tv_treat,11a1,2014,t,abla,,,34,li,60,
11a,tv_treat,11a1,2014,t,pien,,,40,li,90,
11a,tv_treat,11a1,2014,t,pien,,,41,li,90,
11a,tv_treat,11a1,2014,t,pien,,,42,li,60,
11a,tv_treat,11a1,2014,t,pien,,,35,de,,
11a,tv_treat,11a1,2014,t,pien,,,35,li,80,
11a,tv_treat,11a1,2014,t,pien,,,43,li,60,
11a,tv_treat,11a1,2014,t,abla,,,33,li,40,
11a,tv_treat,11a1,2014,t,abla,,,43,li,70,
11a,tv_treat,11a1,2014,t,abla,,,27,de,,
11a,tv_treat,11a1,2014,t,abla,,,4,li,80,
11a,tv_treat,11a1,2014,t,abla,,,5,li,80,
11a,tv_treat,11a1,2014,t,abla,,,4,li,70,
11a,tv_treat,11a1,2014,t,pien,,,22,li,50,
11a,tv_treat,11a1,2014,t,pien,,,31,li,70,
11a,tv_treat,11a1,2014,t,pien,,,28,li,70,
11a,tv_treat,11a1,2014,t,pien,,,19,li,40,
11a,tv_treat,11a1,2014,t,pien,,,29,li,70,
11a,tv_treat,11a1,2014,t,pien,,,19,li,40,
11a,tv_treat,11a1,2014,t,pien,,55,,u,,
11a,tv_treat,11a1,2014,t,pien,,,41,li,90,
11a,tv_treat,11a1,2014,t,abla,,,4,li,80,
11a,tv_treat,11a1,2014,t,pien,,,38,li,50,
11a,tv_treat,11a1,2014,t,pien,,48,,u,,
11a,tv_treat,11a1,2014,t,abla,,32,,u,,
11a,tv_treat,11a1,2014,t,pien,,39,,u,,
11a,tv_treat,11a1,2014,t,pien,,,17,li,60,y
11a,tv_treat,11a2,2014,t,pien,,,42,li,80,
11a,tv_treat,11a2,2014,t,pien,,,12,li,70,
11a,tv_treat,11a2,2014,t,abla,,,10,li,50,
11a,tv_treat,11a2,2014,t,pien,,,25,li,40,
11a,tv_treat,11a2,2014,t,abla,,,4,li,20,
11a,tv_treat,11a2,2014,t,pien,,,5,tw,,
11a,tv_treat,11a2,2014,t,pien,,,15,li,80,
11a,tv_treat,11a2,2014,t,abla,,,17,tw,,
11a,tv_treat,11a2,2014,t,pien,,,40,li,60,
11a,tv_treat,11a2,2014,t,abla,,,13,li,40,
11a,tv_treat,11a2,2014,t,abla,,,33,tw,,
11a,tv_treat,11a2,2014,t,abla,,,13,li,60,
11a,tv_treat,11a2,2014,t,abla,,,6,li,10,
11a,tv_treat,11a2,2014,t,abla,,,10,tw,,
11a,tv_treat,11a2,2014,t,pien,,,26,li,40,
11a,tv_treat,11a2,2014,t,pien,,,7,li,60,
11a,tv_treat,11a2,2014,t,abla,,,5,tw,,
11a,tv_treat,11a2,2014,t,abla,28,,,sn,,
11a,tv_treat,11a2,2014,t,pien,,,19,li,45,
11a,tv_treat,11a2,2014,t,abla,,,13,li,30,
11a,tv_treat,11a2,2014,t,pien,,,28,li,40,
11a,tv_treat,11a2,2014,t,pien,,,28,li,30,
11a,tv_treat,11a2,2014,t,pien,,,49,li,40,
11a,tv_treat,11a2,2014,t,pien,,,10,li,30,
11a,tv_treat,11a2,2014,t,abla,13,,,sn,,
11a,tv_treat,11a2,2014,t,pien,,,9,li,40,
11a,tv_treat,11a2,2014,t,pien,,,12,li,25,
11a,tv_treat,11a2,2014,t,abla,,,21,tw,,
11a,tv_treat,11a2,2014,t,pien,,,36,li,50,
11a,tv_treat,11a2,2014,t,abla,,,15,br,,
11a,tv_treat,11a2,2014,t,abla,,,5,li,,
11a,tv_treat,11a2,2014,t,pien,,,22,tw,,
11a,tv_treat,11a2,2014,t,pien,,,9,li,40,
11a,tv_treat,11a2,2014,t,pien,,,11,li,60,
11a,tv_treat,11a2,2014,t,pien,,,25,li,70,
11a,tv_treat,11a2,2014,t,abla,,,7,li,70,
11a,tv_treat,11a2,2014,t,pien,,,34,li,65,
11a,tv_treat,11a2,2014,t,pien,,,25,li,70,
11a,tv_treat,11a2,2014,t,pien,,,5,tw,,
11a,tv_treat,11a2,2014,t,pien,,,20,li,40,
11a,tv_treat,11a2,2014,t,pien,,,14,li,40,
11a,tv_treat,11a2,2014,t,pien,,,29,li,30,
11a,tv_treat,11a2,2014,t,pien,,,12,tw,,
11a,tv_treat,11a2,2014,t,pien,,,23,li,20,
11a,tv_treat,11a2,2014,t,pien,,,25,li,60,
11a,tv_treat,11a2,2014,t,pien,,,11,li,50,
11a,tv_treat,11a2,2014,t,abla,,,42,li,30,
11a,tv_treat,11a2,2014,t,pien,,,29,br,,
11a,tv_treat,11a2,2014,t,pien,,,,de,,
11a,tv_treat,11a2,2014,t,abla,,,7,de,,
11a,tv_treat,11a2,2014,t,abla,,,16,li,70,
11a,tv_treat,11a2,2014,t,pien,,,24,li,30,
11a,tv_treat,11a2,2014,t,pien,,,19,li,20,
11a,tv_treat,11a2,2014,t,pien,,,11,li,20,
11a,tv_treat,11a2,2014,t,abla,,,5,de,,
11a,tv_treat,11a2,2014,t,abla,,,9,tw,,
11a,tv_treat,11a2,2014,t,pien,,,15,li,60,
11a,tv_treat,11a2,2014,t,pien,,28,,u,,
11a,tv_treat,11a2,2014,t,pien,,28,,u,,
11a,tv_treat,11a2,2014,t,abla,,,11,sn,,
11a,tv_treat,11a2,2014,t,abla,,44,,u,,
11a,tv_treat,11a2,2014,t,pien,,32,,u,,
11a,tv_treat,11a2,2014,t,pien,,,39,li,60,y
11a,tv_treat,11a2,2014,t,pien,,,37,li,40,y
11a,tv_treat,11a2,2014,t,pien,,,70,li,60,y
11a,tv_treat,11a2,2014,t,pien,,,41,li,70,y
11a,tv_treat,11a2,2014,t,pien,,,47,li,70,y
11a,tv_treat,11a3,2014,t,pien,,,29,li,70,
11a,tv_treat,11a3,2014,t,abla,,,7,li,10,
11a,tv_treat,11a3,2014,t,pien,,,32,li,50,
11a,tv_treat,11a3,2014,t,pien,,,25,li,60,
11a,tv_treat,11a3,2014,t,pien,,,33,li,70,
11a,tv_treat,11a3,2014,t,abla,,,17,li,60,
11a,tv_treat,11a3,2014,t,abla,,,22,li,50,
11a,tv_treat,11a3,2014,t,abla,,,19,li,50,
11a,tv_treat,11a3,2014,t,abla,,,9,li,40,
11a,tv_treat,11a3,2014,t,pien,,,41,li,70,
11a,tv_treat,11a3,2014,t,pien,,,28,li,80,
11a,tv_treat,11a3,2014,t,pien,,,35,li,70,
11a,tv_treat,11a3,2014,t,pien,,,28,li,50,
11a,tv_treat,11a3,2014,t,pien,,,5,li,55,
11a,tv_treat,11a3,2014,t,pien,,,6,li,90,
11a,tv_treat,11a3,2014,t,pien,,,22,li,80,
11a,tv_treat,11a3,2014,t,abla,,,16,br,,
11a,tv_treat,11a3,2014,t,pien,,,49,li,90,
11a,tv_treat,11a3,2014,t,pien,,,48,li,80,
11a,tv_treat,11a3,2014,t,abla,,,5,li,80,
11a,tv_treat,11a3,2014,t,pien,,,39,li,80,
11a,tv_treat,11a3,2014,t,pien,,,42,li,80,
11a,tv_treat,11a3,2014,t,abla,,,11,li,60,
11a,tv_treat,11a3,2014,t,abla,,,9,li,50,
11a,tv_treat,11a3,2014,t,abla,,,6,li,85,
11a,tv_treat,11a3,2014,t,pien,,,22,li,65,
11a,tv_treat,11a3,2014,t,abla,,,5,li,75,
11a,tv_treat,11a3,2014,t,abla,,,8,li,85,
11a,tv_treat,11a3,2014,t,abla,,,7,li,90,
11a,tv_treat,11a3,2014,t,abla,,,6,li,90,
11a,tv_treat,11a3,2014,t,pien,19,,,sn,,
11a,tv_treat,11a3,2014,t,abla,,,11,li,90,
11a,tv_treat,11a3,2014,t,pien,,47,,u,,
11a,tv_treat,11a3,2014,t,pien,,,25,li,80,y
11a,tv_treat,11a3,2014,t,pien,,,20,li,80,y
11a,tv_treat,11a3,2014,t,pien,,,14,li,,y
11a,tv_treat,11a3,2014,t,pien,,,37,li,90,y
11a,tv_treat,11a3,2014,t,pien,,,16,li,80,y
11a,tv_treat,11a3,2014,t,pien,,,36,li,70,y
11a,tv_treat,11a3,2014,t,pien,,,16,li,60,y
11a,tv_treat,11a4,2014,t,pien,,,34,li,85,
11a,tv_treat,11a4,2014,t,pien,,,23,li,80,
11a,tv_treat,11a4,2014,t,pien,,,22,li,80,y
11a,tv_treat,11a4,2014,t,pien,,,31,li,100,y
11a,tv_treat,11a4,2014,t,pien,,,25,li,90,y
11a,tv_treat,11a4,2014,t,pien,,,30,li,90,y
11a,tv_treat,11a4,2014,t,pien,,,24,li,90,y
11a,tv_treat,11a4,2014,t,pien,,,20,li,90,y
11a,tv_treat,11a4,2014,t,pien,,,36,li,85,y
11a,tv_treat,11a4,2014,t,pien,,,25,li,90,y
11a,tv_treat,11a4,2014,t,pien,,,18,li,85,y
11a,tv_treat,11a4,2014,t,pien,,,10,li,100,y
11a,tv_treat,11a4,2014,t,pien,,,19,li,70,y
11a,tv_treat,11a4,2014,t,pien,,,17,li,70,y
11a,tv_treat,11a4,2014,t,pien,,,48,ye,40,y
11a,tv_treat,11a4,2014,t,pien,,,47,li,85,y
11a,tv_treat,11a4,2014,t,pien,,,56,li,75,y
11a,tv_treat,11a4,2014,t,pien,,,57,li,90,y
11a,tv_treat,11a4,2014,t,pien,,,36,li,60,y
11a,tv_treat,11a4,2014,t,pien,,96,,u,,
11a,tv_treat,11a4,2014,t,pien,,67,,u,,
11a,tv_treat,11a4,2014,t,pien,,81,,u,,
11a,tv_treat,11a4,2014,t,pien,,35,,u,,
11a,tv_treat,11a4,2014,t,pien,,32,,u,,
11a,tv_treat,11a4,2014,t,pien,,53,,u,,
11a,tv_treat,11a4,2014,t,pien,,46,,u,,
11a,tv_treat,11a4,2014,t,pien,,35,,u,,
11a,tv_treat,11a4,2014,t,pien,,,15,li,95,
11a,tv_treat,11a5,2014,t,pien,,94,,u,,
